luas_bangunan,kualitas_bangunan,harga_rumah
99,6,335.71
86,5,269.76
159,8,612.67
104,4,258.97
190,7,681.01
97,5,270.96
101,5,338.11
124,4,258.97
134,7,419.63
144,7,561.11
129,5,291.35
129,5,407.64
92,5,258.97
155,6,443.61
213,7,642.64
153,6,306.93
232,9,779.32
142,7,513.15
198,8,759.18
87,5,326.02
160,5,341.94
80,6,287.75
157,7,538.33
132,7,407.64
103,5,333.31
112,5,284.15
137,7,347.7
122,5,394.46
129,7,350.09
166,5,315.33
132,6,436.18
189,8,607.37
75,6,284.15
257,10,779.32
146,4,318.92
188,8,886.99
77,6,311.73
79,5,328.51
136,5,342.9
86,5,190.63
146,7,445.77
213,10,1083.74
75,5,330.91
78,6,335.71
85,5,263.77
169,8,764.93
127,6,274.57
130,7,465.68
153,5,521.55
144,6,362.08
176,8,659.43
127,6,338.11
177,8,527.54
111,7,362.08
138,7,529.94
184,7,491.57
96,5,364.48
186,5,539.53
296,8,861.09
95,4,284.15
200,9,750.55
95,6,354.89
173,8,627.05
104,5,352.49
58,4,181.04
97,6,329.71
140,6,439.3
77,6,252.98
169,9,754.89
210,8,731.36
80,3,160.66
242,6,575.5
91,5,323.72
140,6,404.05
166,6,396.01
103,6,383.67
132,5,335.47
141,6,366.88
193,5,323.72
125,6,404.05
162,5,297.34
144,8,502.36
131,7,197.83
98,5,334.27
98,6,345.3
315,6,479.58
74,2,143.87
128,5,223.01
73,5,203.82
145,8,634.39
141,8,657.03
179,7,541.93
251,8,827.28
150,5,364.48
164,9,889.33
91,6,343.5
97,5,235.71
101,6,371.68
170,6,371.68
58,4,202.62
154,7,493.85
140,4,258.97
159,7,458.0
136,6,323.72
196,8,839.27
101,6,211.02
97,5,348.9
139,7,357.29
135,6,233.8
138,5,400.45
179,7,474.55
227,8,963.96
129,6,263.77
109,4,329.71
194,8,1014.32
179,8,552.72
221,6,309.33
155,6,464.0
133,5,402.85
109,4,329.71
137,6,416.04
127,6,248.42
112,6,395.66
170,6,617.46
105,6,335.71
133,6,356.09
164,4,208.62
73,5,262.57
190,8,893.22
91,5,308.13
85,6,342.9
141,5,382.31
119,6,414.84
154,9,683.4
170,7,529.94
194,7,497.57
163,7,546.42
102,7,356.81
131,8,939.98
126,6,466.87
78,6,338.11
400,10,1810.42
234,7,803.3
99,5,260.13
142,5,339.3
105,6,422.03
57,5,213.41
106,5,296.14
83,5,332.11
129,7,469.99
167,8,749.35
108,7,335.71
239,8,867.85
168,5,335.71
137,7,510.75
101,4,131.89
169,7,724.17
123,8,609.07
135,7,430.52
83,5,263.53
67,3,124.69
109,4,246.45
114,8,453.2
89,4,309.33
137,6,312.93
125,6,395.66
237,7,382.47
109,5,376.47
224,7,817.69
90,5,308.13
161,8,659.43
78,6,342.9
80,4,298.54
136,4,323.72
157,9,767.33
80,4,288.95
156,6,532.34
114,7,466.39
165,5,263.77
112,4,246.98
150,8,567.11
106,7,449.61
188,7,533.53
106,5,315.09
88,5,258.97
164,7,390.86
96,3,224.2
167,8,575.26
111,5,429.23
160,7,455.6
133,5,316.52
84,6,340.5
125,7,429.23
136,5,419.63
124,8,431.62
252,8,718.89
209,7,565.91
245,7,637.79
159,7,624.42
142,4,235.0
105,4,231.4
122,7,388.46
138,6,520.35
194,8,660.62
95,6,374.07
136,6,413.64
164,8,508.36
128,6,381.03
139,7,430.18
235,8,695.39
80,6,305.73
120,5,239.79
143,7,516.03
219,8,808.1
138,8,647.44
139,9,633.36
159,7,471.19
162,6,383.67
170,7,519.96
304,8,1290.08
79,5,323.48
113,4,244.59
103,6,256.58
84,5,274.56
183,8,947.17
111,6,388.46
149,7,531.14
83,5,341.7
187,5,345.3
93,6,323.72
116,7,422.03
148,6,421.79
132,7,448.65
103,5,396.85
137,6,306.93
124,6,387.26
153,5,333.31
193,7,558.71
83,4,258.73
193,6,449.61
106,7,384.15
98,6,352.01
187,7,646.93
138,8,539.53
176,7,466.39
145,6,410.04
119,6,344.1
71,5,263.77
291,9,1162.99
164,5,419.63
156,6,479.58
111,4,263.53
135,7,453.2
262,9,1397.82
104,5,282.95
132,7,545.96
91,5,324.92
146,5,535.93
100,5,383.55
198,5,254.18
121,6,434.02
78,6,346.5
96,5,134.27
133,6,378.63
116,5,278.16
154,7,539.29
93,5,328.51
156,8,649.83
97,6,371.68
126,7,537.13
152,7,438.82
86,4,223.01
161,7,539.53
138,6,334.51
138,8,557.75
193,10,923.2
72,5,262.57
133,7,453.2
197,5,443.61
113,7,353.45
129,6,398.05
111,7,362.08
169,7,568.3
140,6,400.45
106,5,335.59
99,4,306.93
144,5,368.08
91,6,239.79
102,5,345.3
111,5,312.93
137,6,335.71
142,5,377.67
108,6,419.39
167,5,338.11
131,5,369.04
158,5,410.04
164,7,510.75
80,5,320.12
219,6,575.5
172,6,448.41
78,6,315.33
135,8,515.55
152,7,393.26
134,6,378.87
165,5,407.64
96,5,304.53
95,6,352.49
137,6,417.24
127,7,364.48
246,6,599.48
132,7,455.48
96,5,315.33
101,6,364.48
106,5,317.72
127,7,600.87
93,5,356.09
152,8,596.84
104,4,309.33
215,5,405.25
181,7,565.91
83,5,262.57
156,6,480.78
84,5,278.16
117,5,318.92
105,5,159.46
242,8,727.71
96,4,317.12
206,9,839.27
107,5,354.89
80,5,327.31
101,5,376.47
159,7,449.61
147,6,426.83
207,4,284.15
82,5,239.79
158,9,788.67
159,5,347.7
129,5,324.92
205,8,642.64
139,6,358.49
85,5,294.7
156,6,413.64
99,6,370.48
128,5,395.66
142,5,285.01
166,6,335.71
88,4,255.38
208,5,342.79
219,9,1466.7
114,5,323.72
79,4,263.77
121,5,366.88
140,7,431.62
155,7,575.5
83,5,300.94
98,5,306.93
151,8,611.47
191,7,599.48
83,5,314.13
137,6,417.24
211,5,370.0
117,5,344.1
94,5,211.02
185,5,347.7
113,6,416.6
101,4,179.84
44,2,84.67
114,4,323.72
197,7,570.7
131,6,423.23
159,6,481.98
204,5,349.85
122,6,407.62
150,6,462.8
156,6,497.57
104,5,419.63
220,8,683.4
183,7,422.03
166,8,567.11
207,7,532.34
136,8,481.98
85,5,281.75
176,9,767.33
139,7,455.6
192,7,580.29
69,4,191.59
111,7,443.37
183,7,606.67
182,7,575.02
223,7,586.05
160,6,361.84
191,7,513.15
133,4,359.69
151,5,342.9
124,6,329.71
173,5,299.5
106,5,342.9
151,8,647.44
165,7,461.6
128,6,473.59
80,5,309.33
89,5,287.51
71,5,321.08
182,5,412.44
91,6,305.73
181,6,347.7
114,6,297.34
98,5,316.52
124,7,443.61
131,7,371.68
79,5,279.36
266,6,652.23
143,6,371.68
167,9,573.1
175,7,515.31
137,6,428.99
121,5,383.67
102,5,323.72
89,3,90.88
101,6,335.71
110,4,323.72
151,7,414.84
85,6,238.59
132,7,436.42
187,7,401.65
128,7,395.66
80,4,205.02
115,7,479.34
83,4,263.77
104,5,333.31
92,7,427.79
242,8,805.7
117,7,383.41
212,8,613.63
161,5,302.14
108,5,299.74
151,6,280.56
180,9,947.63
188,6,467.59
146,7,472.39
222,8,834.47
161,8,402.85
171,6,448.41
139,6,417.0
159,10,809.29
114,4,291.59
97,5,327.31
133,6,443.61
100,3,218.21
112,7,493.97
87,3,196.63
64,5,206.22
146,8,556.32
156,5,328.29
139,7,434.02
91,5,359.45
153,6,392.06
101,4,211.02
158,7,575.5
141,5,244.59
118,5,323.72
154,5,239.79
139,6,395.66
94,5,203.82
100,6,285.83
154,8,544.33
139,7,486.78
126,8,449.61
136,7,383.67
139,7,511.93
105,4,422.03
113,7,465.19
115,5,208.62
139,7,458.0
269,8,688.2
81,5,269.76
117,5,401.65
152,8,702.77
127,5,251.78
113,6,282.95
179,5,383.67
286,7,472.39
234,8,743.35
153,7,551.52
88,5,287.15
78,4,201.42
150,9,756.54
210,8,688.2
124,4,232.6
58,4,191.83
167,5,371.68
151,6,414.84
121,6,469.99
216,7,628.92
234,8,666.62
161,3,334.75
266,9,1334.63
91,5,347.7
164,5,275.76
86,4,203.58
120,7,423.2
122,7,479.92
183,6,395.66
141,5,346.5
184,8,611.47
141,6,431.62
126,7,445.65
171,7,594.68
202,9,803.3
184,6,527.54
124,8,511.95
83,3,194.23
217,5,215.81
102,6,264.97
107,5,369.28
209,7,786.51
145,6,426.83
149,6,402.61
234,6,363.04
82,5,323.72
97,5,323.72
144,6,369.28
135,5,219.41
132,6,382.47
115,7,465.19
161,7,526.34
136,5,407.64
101,5,332.83
78,6,373.83
91,5,302.14
116,6,347.7
96,5,318.92
135,7,460.4
116,6,383.67
139,6,449.61
92,6,352.49
101,4,200.23
181,8,604.27
158,7,329.71
115,8,472.39
96,3,222.77
116,7,383.67
157,6,327.31
111,5,350.09
86,5,309.33
122,6,423.07
125,6,304.53
101,8,407.64
123,4,306.93
148,7,376.47
40,2,143.87
88,5,286.55
105,5,323.72
110,6,382.47
120,5,254.18
243,8,779.32
133,7,431.38
187,7,658.77
157,6,434.02
170,8,671.41
154,6,450.81
182,7,491.57
75,5,311.49
93,5,322.52
77,5,280.56
161,8,762.54
131,8,441.46
83,5,311.73
148,5,335.71
96,5,320.6
94,6,283.91
144,7,510.51
89,4,268.57
64,5,282.95
137,7,393.02
93,4,275.76
144,7,417.24
142,7,621.06
182,7,515.55
86,5,335.71
184,4,323.72
90,5,224.2
205,6,281.75
187,8,574.3
148,6,405.25
91,6,244.59
116,6,285.35
94,5,225.4
145,6,469.99
108,5,345.3
88,5,333.31
173,5,473.59
262,8,1018.8
93,5,191.83
85,4,191.83
146,5,357.29
120,6,431.62
145,7,418.44
103,7,280.32
137,7,342.9
86,6,297.34
136,5,359.45
168,6,551.52
75,6,288.95
169,7,483.9
133,5,522.74
117,5,431.38
122,7,551.52
146,8,563.82
174,6,443.61
135,6,350.09
152,6,537.13
83,5,309.33
116,4,261.27
133,5,465.19
139,7,559.12
157,8,588.33
155,6,414.84
195,6,563.51
336,10,1498.69
103,6,410.04
117,6,390.86
116,7,412.2
286,5,480.78
217,6,573.1
266,8,683.4
85,5,286.55
113,6,275.76
124,5,371.44
104,5,223.01
233,7,599.48
153,8,941.18
415,10,1786.44
104,5,287.75
146,5,447.69
113,5,251.54
157,3,227.8
150,8,628.25
154,7,467.59
167,7,453.2
150,4,402.85
133,8,417.24
136,5,299.74
113,6,395.66
125,6,378.87
135,6,422.03
173,7,525.65
157,7,345.3
112,7,426.83
128,4,354.89
80,4,278.28
165,7,474.55
125,5,280.56
151,7,510.75
99,5,368.08
204,7,651.99
98,4,256.58
157,6,479.58
119,5,335.71
154,8,695.39
171,6,453.2
162,8,393.26
62,4,270.96
89,4,347.7
92,5,322.52
83,5,299.74
176,6,268.57
122,8,550.21
84,4,193.03
113,6,219.41
84,5,275.76
112,5,321.32
171,6,342.9
198,5,330.67
138,7,441.22
105,6,347.7
179,6,513.15
84,5,352.49
158,9,880.74
140,5,304.53
243,5,455.6
110,5,317.72
113,4,244.11
110,5,340.5
182,5,311.73
165,5,333.04
151,7,420.83
180,7,467.59
106,6,341.7
137,8,637.6
164,7,539.29
156,7,595.47
108,7,407.64
192,10,1115.03
140,8,551.52
173,6,426.83
144,7,447.21
96,6,407.4
191,6,310.53
91,5,285.35
196,7,585.09
130,7,411.84
81,5,311.73
201,7,704.99
153,7,396.61
127,6,305.73
184,8,722.97
80,5,239.55
108,7,455.6
97,6,362.08
155,6,434.02
97,5,309.09
166,4,387.26
169,6,432.82
124,6,434.02
134,7,440.98
175,7,292.54
187,9,907.61
320,8,913.6
141,5,345.3
141,7,623.46
138,6,445.41
86,5,328.51
126,6,424.43
116,5,333.31
178,5,328.51
129,6,388.46
160,6,474.55
188,8,568.3
104,4,164.02
146,7,544.33
124,7,431.62
96,5,360.89
169,6,333.31
227,6,405.25
131,6,317.72
123,6,342.9
146,5,455.6
154,8,666.62
183,8,673.81
107,5,432.82
120,5,286.55
220,5,257.78
154,7,390.62
80,5,275.76
97,5,332.11
104,5,371.68
99,6,335.71
524,10,383.67
115,5,369.28
184,7,539.53
138,6,425.63
234,8,695.39
150,7,556.32
158,7,311.73
153,9,779.32
127,7,485.58
91,5,330.91
104,5,352.49
120,6,429.71
176,7,803.3
118,7,486.78
261,8,724.17
241,9,798.91
88,4,285.35
196,6,496.13
151,8,708.57
125,7,500.92
166,8,659.43
88,4,266.17
137,6,375.27
66,3,173.85
178,7,455.6
65,4,197.83
166,8,352.49
73,4,131.89
71,3,189.43
75,5,312.93
259,6,613.86
151,7,423.23
147,8,544.33
88,5,317.72
75,4,239.79
126,5,300.94
126,5,299.74
123,6,402.61
153,5,323.72
64,4,125.89
172,7,479.58
80,5,308.13
81,4,294.94
103,6,371.68
201,8,547.92
177,6,424.43
135,7,373.68
89,4,260.17
200,7,629.45
165,8,679.72
138,7,515.55
219,8,292.54
244,5,479.58
159,6,410.04
109,6,323.48
300,8,983.14
173,7,563.51
178,7,407.64
82,5,263.77
100,5,359.45
146,6,425.63
183,9,755.34
241,5,453.2
142,7,623.46
161,4,251.54
131,6,376.31
111,7,345.66
155,7,517.95
166,7,462.8
137,5,304.53
78,6,345.3
154,8,556.32
127,4,251.78
154,6,396.85
194,7,657.75
244,10,1118.62
181,7,599.48
145,8,573.1
73,6,218.21
149,5,280.56
91,6,199.03
129,5,401.65
80,3,140.28
196,6,569.5
163,7,376.47
131,5,268.57
116,6,251.78
107,4,300.94
258,7,599.48
234,6,326.12
162,9,905.21
113,6,314.13
141,7,563.51
147,5,297.34
83,5,294.94
177,6,390.86
139,7,591.27
230,8,674.32
156,5,383.67
140,5,329.71
176,5,330.91
149,6,329.59
107,6,287.75
147,6,462.8
120,7,464.9
136,8,678.42
112,3,251.78
152,8,659.43
71,5,318.92
77,5,268.57
126,4,300.94
194,7,515.55
170,7,551.52
154,6,335.71
96,4,215.81
171,8,616.26
171,6,496.37
145,7,421.79
212,4,293.74
227,8,815.29
106,5,297.34
171,6,534.73
131,6,431.38
99,6,305.73
78,6,327.31
204,6,659.35
124,5,345.3
116,6,340.5
197,7,649.83
144,5,335.71
74,5,285.35
133,6,438.58
170,5,460.73
89,6,344.7
89,4,154.67
166,6,447.21
104,5,383.67
142,6,417.24
80,4,288.95
179,8,946.26
114,6,358.97
160,7,472.39
237,6,458.0
78,6,358.01
186,10,743.35
88,6,290.15
132,7,430.66
84,6,309.33
110,5,378.63
194,8,575.5
125,4,268.57
58,5,220.61
166,5,326.12
146,8,688.42
99,5,347.7
105,5,202.62
113,7,443.61
153,6,419.63
192,6,503.56
217,7,639.04
100,5,340.8
116,5,353.69
